,loss,accuracy,auc,precision,recall
0,0.289969265460968,0.9333571195602417,0.9960596561431885,0.9712611436843872,0.9042114615440369
1,0.1033700481057167,0.971878170967102,0.9992054104804993,0.9812947511672974,0.9636542201042175
2,0.052049670368433,0.9902409911155701,0.999777615070343,0.992601752281189,0.9879672527313232
3,0.03318408876657486,0.9951167702674866,0.9998545050621033,0.9959405064582825,0.9943188428878784
4,0.024696730077266693,0.9967033863067627,0.9998903870582581,0.9971059560775757,0.9963297247886658
5,0.01988237537443638,0.9974306225776672,0.999912440776825,0.9977025389671326,0.997197687625885
6,0.017202824354171753,0.9977176189422607,0.9999247789382935,0.997944176197052,0.9975284934043884
7,0.015305010601878166,0.9979339241981506,0.9999383687973022,0.9981371760368347,0.9977635741233826
8,0.013854504562914371,0.9980971217155457,0.9999416470527649,0.9982739686965942,0.9979450106620789
9,0.012801511213183403,0.9982572793960571,0.9999500513076782,0.9984234571456909,0.9981326460838318
10,0.012247907929122448,0.9983236193656921,0.9999495148658752,0.9984787106513977,0.9982060790061951
11,0.011643296107649803,0.9983994960784912,0.9999454617500305,0.9985253810882568,0.9982869029045105
12,0.010756010189652443,0.9985414743423462,0.9999582767486572,0.9986839890480042,0.9984353184700012
13,0.010480547323822975,0.9985834360122681,0.9999610781669617,0.9987025260925293,0.9984859228134155
14,0.00993648823350668,0.9986667037010193,0.9999660849571228,0.9987778663635254,0.9985701441764832
15,0.009675254113972187,0.9986960291862488,0.9999679923057556,0.998810887336731,0.9986031651496887
16,0.00935664214193821,0.9987441897392273,0.9999694228172302,0.9988476634025574,0.9986608624458313
17,0.009007873013615608,0.9988481402397156,0.9999696612358093,0.9989473223686218,0.998761773109436
18,0.008745230734348297,0.9988740682601929,0.9999717473983765,0.9989593625068665,0.9988043308258057
19,0.008674129843711853,0.9988950490951538,0.9999710321426392,0.9989883899688721,0.9988241195678711
